Tab Name,Card Metric,Current Visual,Recommended Visual,Why This Visual,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
Student Information,Fall-to-Fall Retention Rate (57.2%),Card,Gauge Chart with Target,"Shows retention against benchmark (target: 75-85%)","Select Gauge Chart","Add Fall-to-Fall Retention Rate to Value","Set Min: 0%, Max: 100%","Set target: 80%","Color code: Red <60%, Yellow 60-75%, Green >75%","Title: 'Fall-to-Fall Retention Rate'"
Student Information,Term-to-Term Persistence (100%),Card,Line Chart by Term,"Shows persistence trends across terms","Select Line Chart","Add Term to X-axis","Add Term-to-Term Persistence Rate to Y-axis","Add reference line at 85% (target)","Format to show percentages","Title: 'Term Persistence Rate Trend'"
Student Information,Average Number of Courses (4.7),Card,Histogram (Course Load Distribution),"Shows distribution of how many courses students take","Select Clustered Column Chart","Create Course Load Buckets (1-2, 3-4, 5-6, 7+)","Add Bucket to X-axis","Add Student Count to Y-axis","Highlight 4-5 courses as typical FT load","Title: 'Course Load Distribution'"
Student Information,Term Credit Success Rate (76.2%),Card,Gauge Chart with benchmark,"Visual indicator of success rate against target (80%)","Select Gauge Chart","Add Term Credit Success Rate to Value","Set Min: 0%, Max: 100%","Set target: 80%","Add color thresholds","Title: 'Term Credit Success Rate'"
Student Information,Average Transfer GPA (0.96),Card,KPI Visual with trend,"Shows transfer GPA with trend indicator","Select KPI visual","Add Average Transfer GPA to Indicator","Add Year to Trend axis","Set target: 2.5","Format to 2 decimals","Title: 'Transfer Student GPA'"
Student Course History & Grades,A Grades Count Midterm (1764),Card,Stacked Bar Chart (Grade Distribution),"Shows complete A-F grade distribution for midterm","Select Stacked Bar Chart","Add Grade (A/B/C/D/F) to Axis","Add Count to Values","Sort by grade A to F","Use color gradient (green A to red F)","Title: 'Midterm Grade Distribution'"
Student Course History & Grades,B Grades Count Midterm (899),Card,Include in Grade Distribution Chart,"Part of midterm grades visual","See A Grades recommendation above","","","","",""
Student Course History & Grades,C Grades Count Midterm (588),Card,Include in Grade Distribution Chart,"Part of midterm grades visual","See A Grades recommendation above","","","","",""
Student Course History & Grades,D Grades Count Midterm (276),Card,Include in Grade Distribution Chart,"Part of midterm grades visual","See A Grades recommendation above","","","","",""
Student Course History & Grades,F Grades Count Midterm (895),Card,Include in Grade Distribution Chart,"Part of midterm grades visual","See A Grades recommendation above","","","","",""
Student Course History & Grades,W Grades Count Midterm (18),Card,Separate Line Chart (W grades over time),"Tracks withdrawal trends","Select Line Chart","Add Term to X-axis","Add W Grades Count to Y-axis","Add markers","Format with warning color (orange)","Title: 'Course Withdrawals by Term'"
Student Course History & Grades,W Grades Final (150),Card,Include in W grades Line Chart,"Part of withdrawal tracking","See W Grades Midterm above","","","","",""
Student Course History & Grades,DFW Rate (1.7%),Card,Gauge Chart with threshold,"Shows DFW against acceptable limit (target: <15%)","Select Gauge Chart","Add DFW Rate to Value","Set Min: 0%, Max: 30%","Set target: 12%","Color: Green <12%, Yellow 12-18%, Red >18%","Title: 'DFW Rate (At-Risk Indicator)'"
Student Course History & Grades,Pass Rate (4.0%),Card,Gauge Chart,"Visualizes pass rate against target (75%)","Select Gauge Chart","Add Pass Rate to Value","Set Min: 0%, Max: 100%","Set target: 75%","Add color thresholds","Title: 'Course Pass Rate'"
Student Course History & Grades,Students Failing at Midterm (508),Card,Funnel Chart (Midterm to Final),"Shows attrition from midterm failing to final grades","Select Funnel Chart","Add Stage (Failing Midterm → Passing Final) to Category","Add Student Count to Values","Format to show conversion","Highlight intervention success","Title: 'Midterm Intervention Success'"
Student Course History & Grades,A Grades Final (273),Card,Stacked Bar Chart (Final Grades),"Complete final grade distribution","Select Stacked Bar Chart","Add Final Grade to Axis","Add Count to Values","Use color gradient","Compare to midterm distribution","Title: 'Final Grade Distribution'"
Student Course History & Grades,B Grades Final (90),Card,Include in Final Grades Chart,"Part of final grades visual","See A Grades Final above","","","","",""
Student Course History & Grades,C Grades Final (27),Card,Include in Final Grades Chart,"Part of final grades visual","See A Grades Final above","","","","",""
Student Course History & Grades,D Grades Final (1),Card,Include in Final Grades Chart,"Part of final grades visual","See A Grades Final above","","","","",""
Student Course History & Grades,F Grades Final (16),Card,Include in Final Grades Chart,"Part of final grades visual","See A Grades Final above","","","","",""
Faculty Course Load,Average Load % (4432.3%),Card,Histogram (Faculty Load Distribution),"Shows how loads are distributed across faculty","Select Clustered Column Chart","Create Load Buckets (0-50%, 51-100%, 101-150%, >150%)","Add Bucket to X-axis","Add Faculty Count to Y-axis","Highlight 100% as full load","Title: 'Faculty Load Distribution'"
Faculty Course Load,Total Course Sections (1277),Card,Area Chart by Term,"Shows section offerings over time","Select Area Chart","Add Term to X-axis","Add Total Sections to Y-axis","Fill with solid color","Add trend line","Title: 'Course Sections Offered by Term'"
Faculty Course Load,Total Faculty (79),Card,Clustered Column Chart by Department,"Compares faculty count across departments","Select Clustered Column Chart","Add Department to X-axis","Add Faculty Count to Y-axis","Sort descending","Add data labels","Title: 'Faculty Count by Department'"
Faculty Course Load,Faculty with Partial Load (22),Card,Donut Chart (Load Status),"Shows proportion of Full/Partial/Overload faculty","Select Donut Chart","Add Load Status to Legend","Add Faculty Count to Values","Show percentages","Use traffic light colors","Title: 'Faculty Load Status Distribution'"
Faculty Course Load,Faculty with 100% Load (75),Card,Include in Load Status Donut,"Part of load distribution visual","See Faculty Partial Load above","","","","",""
Faculty Course Load,Unique Courses Taught (494),Card,Tree Map by Department,"Shows course variety by department size","Select Tree Map","Add Department to Category","Add Unique Courses to Values","Size by course count","Color by department","Title: 'Unique Courses by Department'"
Degree History,Total Degrees Conferred (575),Card,Clustered Column Chart by Year,"Shows degree conferral trends over years","Select Clustered Column Chart","Add Year to X-axis","Add Total Degrees to Y-axis","Add trend line","Add data labels","Title: 'Degrees Conferred by Year'"
Degree History,Average Time to Degree (4.33),Card,Gauge Chart with target,"Shows time to degree vs 4-year standard","Select Gauge Chart","Add Average Time to Degree to Value","Set Min: 2, Max: 8 years","Set target: 4.0 years","Color: Green ≤4, Yellow 4-5, Red >5","Title: 'Average Time to Degree (Years)'"
Degree History,Degrees Table (by Major),Table,Keep as Table but enhance,"Table is appropriate, but add conditional formatting","Select the existing table","Click Format","Enable Conditional Formatting on Total Degrees column","Add Data Bars (gradient)","Sort by Total Degrees descending","Add column totals at bottom"
Sections Overview,Section Fill Rate (32.1%),Card,Gauge Chart with target,"Shows fill rate vs optimal capacity (70-85%)","Select Gauge Chart","Add Section Fill Rate to Value","Set Min: 0%, Max: 100%","Set target: 75%","Color: Red <50%, Yellow 50-70%, Green >70%","Title: 'Section Fill Rate'"
Sections Overview,Average Section Size (11.3),Card,Histogram (Section Size Distribution),"Shows how section sizes are distributed","Select Clustered Column Chart","Create Size Buckets (1-10, 11-20, 21-30, 31+)","Add Bucket to X-axis","Add Section Count to Y-axis","Highlight optimal size range (15-25)","Title: 'Section Size Distribution'"
Sections Overview,Total Section Capacity (160633),Card,Clustered Column Chart (Capacity vs Enrollment),"Compares total capacity to actual enrollment","Select Clustered Column Chart","Add Metric (Capacity/Enrollment) to X-axis","Add Count to Y-axis","Show gap between bars","Calculate utilization percentage","Title: 'Section Capacity Utilization'"
Sections Overview,Full Sections (898),Card,Stacked Bar Chart (Section Status),"Shows breakdown of Full/Partial/Cancelled sections","Select Stacked Bar Chart","Add Section Status to Axis","Add Count to Values","Use color coding","Show percentages","Title: 'Section Status Breakdown'"
Sections Overview,Cancelled Sections (589),Card,Include in Section Status Chart,"Part of section status visual","See Full Sections above","","","","",""
Sections Overview,Sections Below Min Enrollment (26),Card,Include in Section Status Chart,"Part of section status visual","See Full Sections above","","","","",""
Sections Overview,Avg Credit Hours Per Section (2.7),Card,Clustered Column Chart by Course Level,"Shows credit hours by course level (100-400)","Select Clustered Column Chart","Add Course Level to X-axis","Add Avg Credit Hours to Y-axis","Add data labels","Add reference line at 3 credits","Title: 'Average Credit Hours by Course Level'"
Sections Overview,Total Credit Hours Offered (12311),Card,Area Chart by Term,"Shows credit hour capacity trends","Select Area Chart","Add Term to X-axis","Add Total Credit Hours to Y-axis","Fill area with color","Add trend line","Title: 'Total Credit Hours Offered by Term'"
Fees & Revenue,Tuition Revenue Dependency (0.76),Card,Donut Chart (Revenue Mix),"Shows revenue diversification (Tuition/Fees/Housing/Other)","Select Donut Chart","Add Revenue Type to Legend","Add Revenue Amount to Values","Show percentages","Highlight if tuition >75% (over-dependent)","Title: 'Revenue Mix by Source'"
Fees & Revenue,Total Students Charged (2759),Card,Line Chart by Term,"Shows billing trends over terms","Select Line Chart","Add Term to X-axis","Add Students Charged to Y-axis","Add markers","Compare to enrollment","Title: 'Students Charged by Term'"
Fees & Revenue,Total Fees Revenue ($59.9M),Card,Waterfall Chart (Revenue Breakdown),"Shows how total revenue is built from components","Select Waterfall Chart","Add Revenue Categories to Category","Add Amount to Y-axis","Format as currency","Show running total","Title: 'Revenue Breakdown Waterfall'"
Fees & Revenue,Tuition Revenue ($45.5M),Card,Include in Waterfall Chart,"Part of revenue breakdown","See Total Fees Revenue above","","","","",""
Fees & Revenue,Net Revenue ($8.4M),Card,KPI Visual with trend,"Shows net revenue with YoY comparison","Select KPI visual","Add Net Revenue to Indicator","Add Year to Trend axis","Show year-over-year %","Format as currency","Title: 'Net Revenue Trend'"
Fees & Revenue,Other Fees Revenue ($3.5M),Card,Include in Waterfall Chart,"Part of revenue breakdown","See Total Fees Revenue above","","","","",""
Fees & Revenue,Room & Board Revenue ($10.2M),Card,Include in Waterfall Chart,"Part of revenue breakdown","See Total Fees Revenue above","","","","",""
Fees & Revenue,Average Fee Per Student ($21716),Card,Clustered Column Chart by Student Type,"Compares fees across FT/PT, Resident/Commuter","Select Clustered Column Chart","Add Student Type to X-axis","Add Average Fee to Y-axis","Format as currency","Add data labels","Title: 'Average Fee by Student Type'"
Fees & Revenue,Average Tuition Per Student ($17504),Card,Line Chart by Year,"Shows tuition cost trends over years","Select Line Chart","Add Year to X-axis","Add Avg Tuition to Y-axis","Format as currency","Add trend line","Title: 'Average Tuition Trend'"
Fees & Revenue,Technology Fees ($673000),Card,Include in Revenue Donut Chart,"Part of revenue mix visual","See Tuition Revenue Dependency above","","","","",""
